Layer                             Start      End     Size
L1_conv_in_bias                       0       15       16
L1_conv_in                           16      239      224
L2_conv_down_bias                   240      271       32
L2_conv_down                        272     1807     1536
L3_res1_conv1_bias                 1808     1839       32
L3_res1_conv1                      1840     4911     3072
L4_res1_conv2_bias                 4912     4943       32
L4_res1_conv2                      4944     8015     3072
L5_res2_conv1_bias                 8016     8079       64
L5_res2_conv1                      8080    14223     6144
L6_res2_conv2_bias                14224    14287       64
L6_res2_conv2                     14288    26575    12288
L5_res2_proj_bias                 26576    26639       64
L5_res2_proj                      26640    28687     2048
L8_fc_bias                        28688    28691        4
L8_fc                             28692    28947      256
